10   200 
135 v0f379 v4f257 
307 v4f1192 v5f1192 
61 v1f1056 v0f912 
95 v0f1246 v2f1188 
338 v8f150 v7f191 
300 v6f715 v4f943 
132 v0f75 v4f71 
59 v1f988 v0f1019 
92 v2f862 v0f909 
66 v0f1222 v1f1209 
336 v8f147 v7f193 
104 v2f636 v7f595 
309 v4f1244 v5f1244 
50 v0f504 v1f510 
68 v0f1251 v1f1224 
103 v8f169 v2f409 
331 v7f148 v8f87 
57 v4f610 v5f610 
168 v4f67 v1f198 
391 v8f1163 v7f966 
365 v8f622 v7f770 
157 v6f990 v0f1205 
150 v0f961 v5f797 
362 v8f518 v7f618 
159 v5f1073 v4f1073 
32 v7f202 v1f254 
166 v1f33 v5f21 
354 v8f395 v7f480 
192 v1f660 v5f554 
35 v0f184 v1f266 
195 v1f797 v7f829 
353 v7f476 v8f394 
161 v4f1138 v5f1138 
330 v7f31 v8f24 
102 v1f191 v2f318 
69 v0f1254 v8f1004 
56 v4f604 v3f681 
105 v6f883 v2f949 
337 v7f194 v8f148 
51 v5f457 v4f457 
308 v6f1191 v5f1234 
58 v2f913 v0f1446 
133 v4f156 v0f164 
301 v8f988 v4f1019 
67 v4f997 v5f997 
93 v2f985 v5f1033 
306 v5f1102 v4f1102 
134 v6f277 v0f191 
94 v2f1165 v6f978 
339 v8f159 v7f293 
60 v1f1035 v0f927 
34 v5f253 v4f253 
160 v0f1382 v5f1131 
352 v8f378 v7f478 
194 v5f676 v4f676 
33 v3f334 v6f275 
158 v8f1006 v0f1257 
193 v4f651 v5f651 
355 v8f409 v7f397 
167 v5f56 v4f56 
363 v8f609 v7f740 
151 v5f812 v0f979 
169 v4f76 v1f40 
156 v7f922 v0f1187 
364 v7f750 v8f612 
390 v8f1160 v7f1513 
216 v2f1171 v7f1090 
229 v5f33 v6f124 
211 v4f956 v5f956 
227 v2f60 v3f51 
218 v4f1049 v5f1049 
220 v5f1076 v4f1076 
280 v6f265 v4f303 
274 v6f313 v5f265 
273 v6f299 v5f258 
287 v6f476 v4f505 
245 v5f1023 v4f1023 
289 v4f526 v5f526 
242 v2f890 v5f757 
221 v6f1089 v1f1367 
226 v3f1400 v1f1459 
219 v7f1392 v1f1281 
210 v4f935 v1f1151 
217 v1f1278 v7f1331 
228 v4f28 v5f28 
288 v6f488 v5f517 
243 v2f1005 v5f899 
244 v2f1202 v6f992 
286 v6f459 v4f485 
272 v5f198 v4f198 
275 v5f266 v4f266 
281 v6f112 v5f324 
257 v4f638 v0f752 
268 v5f55 v4f55 
250 v5f69 v3f181 
292 v6f568 v5f594 
266 v5f27 v6f86 
259 v1f647 v4f949 
261 v5f748 v4f748 
295 v6f581 v4f625 
235 v8f185 v5f305 
232 v2f65 v3f26 
204 v1f936 v4f801 
203 v5f794 v4f794 
294 v6f580 v5f609 
260 v4f994 v5f994 
267 v5f51 v4f51 
293 v5f600 v4f600 
258 v1f672 v5f557 
251 v4f103 v5f103 
256 v5f53 v4f53 
269 v6f89 v5f118 
202 v4f793 v1f940 
205 v1f1017 v5f838 
233 v2f64 v6f159 
234 v2f207 v5f133 
346 v8f287 v7f412 
174 v5f138 v4f138 
180 v1f153 v4f228 
379 v7f1368 v8f1027 
20 v4f160 v7f82 
187 v1f352 v7f238 
18 v5f81 v1f121 
173 v7f56 v6f198 
341 v7f106 v8f214 
27 v5f213 v0f418 
9 v0f181 v1f82 
0 v4f17 v0f12 
383 v7f1397 v8f1055 
145 v5f641 v4f641 
377 v8f998 v7f1321 
11 v1f85 v2f185 
348 v8f317 v7f253 
370 v7f1016 v8f809 
142 v0f635 v4f525 
384 v7f1426 v8f1056 
7 v2f126 v0f65 
29 v1f224 v0f88 
16 v7f30 v1f115 
189 v4f375 v5f375 
129 v5f31 v4f31 
42 v7f305 v1f293 
89 v0f151 v7f273 
116 v4f389 v5f389 
324 v1f1250 v7f1360 
45 v8f219 v0f393 
323 v7f1343 v1f1240 
111 v2f98 v5f22 
73 v1f1287 v7f1354 
135 v0f379 
307 v4f1192 61 v1f1056 
95 v0f1246 338 v8f150 
300 v6f715 132 v0f75 
59 v1f988 92 v2f862 
66 v0f1222 336 v8f147 
104 v2f636 309 v4f1244 
50 v0f504 68 v0f1251 
103 v8f169 331 v7f148 
57 v4f610 168 v4f67 
391 v8f1163 365 v8f622 
157 v6f990 150 v0f961 
362 v8f518 159 v5f1073 
32 v7f202 166 v1f33 
354 v8f395 192 v1f660 
